Restaurant Name,City,Primary Cuisine,Cost Category,Rating,Votes,Latitude,Longitude
Mocha,lucknow,cafe,high,4.5,567,26.8528099,81.0011849
Chemistry Cafí©,lucknow,cafe,medium,3.5,147,0.0,0.0
Homeys Cafe,lucknow,cafe,medium,4.0,217,26.86,80.99
Percussion,lucknow,continental,high,3.5,514,26.8551778,80.9945959
The Urban Terrace,lucknow,north indian,high,4.0,268,26.8517588,81.0232496
Free Spirit,lucknow,cafe,medium,4.5,106,26.86744546,81.01515904
Spice Caves,lucknow,north indian,high,4.0,691,26.85338395,80.99885715
The Chocolate Heaven,lucknow,cafe,medium,4.0,165,26.85585347,81.00087417
The Pebbles Bistro,lucknow,european,high,4.0,80,26.85123157,81.01126765
Underdoggs Sports Bar & Grill,lucknow,mediterranean,high,4.5,124,0.0,0.0
Vintage Machine,lucknow,italian,high,4.5,887,26.8536376,81.00043965
Bar Bar,lucknow,cafe,high,4.0,79,0.0,0.0
Dastarkhwan,lucknow,mughlai,medium,4.5,818,26.85263889,80.93688889
The Cherry Tree Cafe,lucknow,cafe,medium,4.0,288,26.852,80.9415
Royal Sky,lucknow,north indian,high,4.0,762,26.85019167,80.94088611
L 14 - Renaissance Lucknow Hotel,lucknow,north indian,high,4.0,149,26.852692,80.973027
Barbeque Nation,lucknow,north indian,high,4.5,1069,26.853007,80.973185
Colours by Royal Cafe - Royal Inn,lucknow,north indian,high,4.0,411,26.855957,80.945099
Cappuccino Blast,lucknow,cafe,medium,4.0,587,26.834638,80.947029
Basant Restaurant,ludhiana,north indian,medium,3.5,93,30.87398772,75.84273856
Hawai Adda,ludhiana,north indian,high,3.5,17,0.0,0.0
Indian Summer,ludhiana,north indian,high,4.0,191,30.88722034,75.80489259
Basant,ludhiana,north indian,low,4.0,109,30.91405691,75.83981965
Bistro 226,ludhiana,italian,high,4.0,217,30.90556176,75.83284054
Mocha,ludhiana,cafe,medium,3.5,153,30.89520443,75.82210299
Pirates Of Grill,ludhiana,north indian,high,4.0,41,0.0,0.0
Bistro Flamme Bois,ludhiana,italian,high,4.0,178,30.89999169,75.83133817
Kitchen At 95 - Hyatt Regency,ludhiana,mediterranean,high,4.5,87,30.88581363,75.78697577
Domino's Pizza,ludhiana,pizza,medium,3.5,86,30.89285962,75.82219854
Nando's,ludhiana,portuguese,high,4.0,156,30.89308145,75.8214948
Belfrance Luxury Chocolates,ludhiana,cafe,high,4.5,138,30.893244,75.82181666
Hot Breads,ludhiana,continental,medium,4.0,261,30.89323422,75.82172044
The Yellow Chilli,ludhiana,mughlai,high,4.5,325,30.89297787,75.82184684
Spice Cube,ludhiana,north indian,high,3.5,116,30.89958432,75.80934606
Barbeque Nation,ludhiana,north indian,high,4.0,80,30.895817,75.813112
Nik Bakers,ludhiana,cafe,medium,4.0,210,30.89338354,75.8212021
Aman Chicken,ludhiana,north indian,medium,4.5,196,30.89018388,75.82961485
District 6,ludhiana,european,high,4.0,53,30.90287228,75.82680825
The BrewMaster - The Mix Fine Dine,ludhiana,north indian,high,4.0,154,30.88591491,75.78825854
#45,mangalore,cafe,medium,3.5,209,0.0,0.0
Crave Desserts & Bakes,mangalore,desserts,low,4.0,196,12.87369722,74.85362222
Diesel Cafe,mangalore,american,high,4.0,196,12.87367778,74.85274444
Froth On Top,mangalore,chinese,medium,3.5,355,12.87353056,74.85158611
Hao Ming,mangalore,chinese,medium,3.5,280,12.87343056,74.85343056
Kobe Sizzlers,mangalore,continental,high,3.5,104,12.87334761,74.85209855
Liquid Lounge,mangalore,finger food,high,4.0,290,12.87073611,74.84665556
Maharaja Restaurant,mangalore,south indian,medium,3.5,275,12.87378611,74.84863333
Giri Manja's,mangalore,seafood,medium,4.0,281,0.0,0.0
Kabab Studio,mangalore,north indian,high,3.5,183,12.87582222,74.85006667
Brio Cafe and Grill,mangalore,cafe,medium,3.5,84,12.87221736,74.84500254
Gajalee Sea Food,mangalore,seafood,high,4.0,257,0.0,0.0
Smoke N Oven,mangalore,pizza,medium,3.5,127,0.0,0.0
Village Restaurant,mangalore,chinese,high,3.5,260,12.89897943,74.85946446
Barbeque Nation,mangalore,north indian,high,3.5,193,0.0,0.0
Machali,mangalore,seafood,high,4.0,245,0.0,0.0
Punjab Da Pind,mangalore,north indian,high,3.5,173,0.0,0.0
Sizzler's Ranch,mangalore,continental,medium,4.0,328,0.0,0.0
Spindrift,mangalore,north indian,medium,4.0,156,0.0,0.0
Sagar Ratna,mangalore,south indian,medium,3.5,175,12.87505833,74.84048333
The Shooters Cafe,mohali,continental,medium,4.5,99,30.6955506,76.7187888
Joey's Pizza,mumbai,pizza,medium,4.0,5145,19.12663,72.829976
Cafe Hydro,mumbai,asian,high,4.0,156,19.22131488,72.86238123
The American Joint,mumbai,healthy food,medium,3.5,170,19.2238399,72.8413473
The Fusion Kitchen,mumbai,north indian,high,4.5,2083,19.254567,72.848923
145 Kala Ghoda,mumbai,fast food,high,4.0,1606,18.92758399,72.83258457
Tea Villa Cafe,mumbai,cafe,high,4.0,2040,19.05583064,72.83398401
Grandmama's Cafe,mumbai,continental,high,4.0,617,19.09145752,72.82780755
Mumbai Vibe,mumbai,cafe,high,4.0,146,19.06583751,72.83265799
The Rolling Pin,mumbai,bakery,medium,4.0,2076,18.99404899,72.82520279
Farzi Cafe,mumbai,modern indian,high,4.5,1240,19.0035172,72.82764997
SpiceKlub,mumbai,north indian,high,4.0,3370,18.99423667,72.82555282
Tea Villa Cafe,mumbai,cafe,high,4.0,317,19.20722241,72.97228105
Joey's Pizza,mumbai,pizza,medium,4.5,2662,19.178321,72.834715
Stacks And Racks,mumbai,american,medium,4.5,413,19.18129965,72.83619149
The English Department Bar & Diner,mumbai,italian,high,4.0,885,19.17626869,72.83672087
Mirchi And Mime,mumbai,north indian,high,5.0,3244,19.12008268,72.90738534
38 Degree East,mumbai,north indian,high,4.0,181,19.12199866,72.90849264
R' ADDA,mumbai,street food,high,4.0,536,19.1093,72.825451
Tea Villa Cafe,mumbai,cafe,high,4.0,1295,19.1311405,72.8130738
Tea Villa Cafe,mumbai,cafe,high,3.5,1515,19.103249,72.846749
Hotel RRR Mysore,mysore,andhra,low,3.5,139,12.31107222,76.65487778
Jalpaan Dining Saga,mysore,north indian,high,3.5,172,12.30456944,76.64362222
The Old House,mysore,italian,high,4.0,264,12.299524,76.64262
Vinayaka Mylari,mysore,south indian,low,4.0,392,12.3085,76.66580833
Empire Restaurant,mysore,north indian,medium,3.5,393,12.32397778,76.62796111
Green Leaf,mysore,north indian,medium,3.5,214,12.32399444,76.62616667
Pakva Lounge,mysore,italian,medium,3.5,262,12.32546111,76.63227778
Spring - Radisson Blu Plaza,mysore,continental,high,4.0,162,12.297954,76.665169
Big Chicken,mysore,north indian,medium,3.5,160,12.32319444,76.63058333
Barbeque Nation,mysore,north indian,high,4.0,286,12.32121389,76.62109444
Pizza Hut,mysore,pizza,medium,4.0,304,12.323225,76.63002778
Tandooriwala,mysore,north indian,medium,3.5,127,12.28474722,76.62586111
Jungle The Restaurant,mysore,north indian,high,3.5,132,12.31097222,76.65926389
The Barge Restaurant,mysore,continental,high,3.5,11,0.0,0.0
By The Way,mysore,north indian,medium,3.5,190,12.35205833,76.60665
Cafe Cornucopia,mysore,cafe,medium,3.5,140,12.31696667,76.60306667
Mezzaluna,mysore,continental,medium,4.0,249,12.32635556,76.61910278
Nanking,mysore,chinese,medium,3.5,208,12.33792778,76.61788889
Oyster Bay,mysore,north indian,high,3.5,270,12.33402222,76.61820278
Purple Haze,mysore,finger food,high,3.5,183,12.33797778,76.61679167
House of Caffeine,nagpur,fast food,medium,3.5,27,21.12420256,79.06428449
Hide Out The Street Cafe,nagpur,cafe,low,4.0,73,21.12949694,79.06046167
Tapri The Chai Books Cafe,nagpur,continental,low,4.0,26,0.0,0.0
Eat Street Express,nagpur,north indian,medium,4.0,103,21.12499944,79.05922417
Zaikart,nagpur,north indian,medium,4.5,88,21.11882292,79.04722832
Cafe Zinea,nagpur,cafe,medium,3.5,201,21.1481626,79.0679011
Checker's,nagpur,fast food,medium,4.0,185,21.15841584,79.07658678
The B.A.W.A,nagpur,cafe,medium,4.0,164,21.15619053,79.07730427
FSB,nagpur,continental,high,4.5,270,21.13851031,79.08047698
NESCAFí Illusions,nagpur,cafe,medium,4.0,140,21.13685791,79.0651371
Nineties,nagpur,cafe,low,4.0,19,21.14083972,79.06652045
Mocha,nagpur,cafe,high,4.0,284,21.13784829,79.05853249
The Zuree Urban Kitchen,nagpur,north indian,high,4.5,257,21.15848119,79.08184659
The Breakfast Story,nagpur,cafe,medium,4.5,520,21.1232834,79.03866302
Ten Downing Street Restaurant & Bar,nagpur,chinese,high,4.0,306,21.13672376,79.07851763
Ashoka Restaurant,nagpur,north indian,high,4.0,275,21.159225,79.079819
Barbeque Nation,nagpur,north indian,high,5.0,226,21.143272,79.080247
KFC,nagpur,american,medium,2.0,147,21.14353333,79.08040556
Moksh The Restro Lounge,nagpur,seafood,high,4.0,100,21.14014612,79.08009443
Mainland China,nagpur,chinese,high,4.0,45,21.08922374,79.06482127
Divtya Budhlya Wada Restaurant,nashik,maharashtrian,medium,4.0,76,0.0,0.0
Spice Route,nashik,north indian,high,3.5,91,20.01361026,73.74210622
Veg Aroma,nashik,north indian,high,3.5,125,20.01207513,73.74589243
Eastern Spice,nashik,north indian,high,3.5,140,20.006756,73.770914
The Bake Studio,nashik,cafe,medium,3.5,86,20.006756,73.770914
Barbeque Nation,nashik,north indian,high,4.0,117,19.990707,73.760948
Chai Tapri,nashik,cafe,low,3.5,86,0.0,0.0
Curry Leaves,nashik,north indian,high,3.5,162,20.01271111,73.75582778
Enter The Dragon,nashik,chinese,high,3.5,177,20.00551389,73.76653333
The Cafe Katta,nashik,cafe,high,3.5,15,20.008442,73.756229
White X Sky Lounge,nashik,north indian,high,3.5,24,0.0,0.0
12212,nashik,fast food,medium,3.5,80,20.00669049,73.75463597
Al Arabian Express,nashik,mughlai,high,3.5,162,20.0037341,73.76504313
RiverDine Restaurant & Bar,nashik,north indian,high,3.5,166,0.0,0.0
Barbeque Ville,nashik,north indian,high,4.0,164,19.97720852,73.77734005
Little Italy,nashik,italian,high,3.0,25,0.0,0.0
Soma at Sula,nashik,north indian,high,3.5,33,0.0,0.0
Hotel Radhakrishna,nashik,malwani,medium,3.5,77,19.98975665,73.74630857
Sadhana Restaurant,nashik,maharashtrian,low,4.0,218,20.02091783,73.72076757
House Of Flavours,nashik,north indian,high,3.5,71,19.991295,73.776176
Food Cloud,new delhi,cuisine varies,medium,1.0,2,0.0,0.0
Burger.in,new delhi,fast food,low,3.0,46,28.53538174,77.19692286
Days of the Raj,new delhi,north indian,high,3.5,45,28.53549308,77.19747473
Dilli Ka Dhaba,new delhi,south indian,medium,2.5,11,28.5375472,77.1980333
Govardhan,new delhi,south indian,medium,3.5,238,28.5355234,77.1969242
Mezbaan Grills,new delhi,mughlai,low,3.0,8,28.5381335,77.1981225
Say Cheese,new delhi,fast food,low,2.5,64,28.53744768,77.19815936
Southy,new delhi,south indian,low,2.5,113,28.53747419,77.19795015
Monosoz,new delhi,pizza,low,3.5,66,28.53839431,77.19804244
Waves,new delhi,north indian,high,3.5,141,28.5386662,77.1988082
Delhi Darbar,new delhi,chinese,medium,2.0,77,28.53576259,77.19696745
Chateau,new delhi,mediterranean,high,4.0,40,28.53565508,77.19679244
Nariyal Cafe,new delhi,continental,high,4.0,46,28.538438,77.199152
Rustom's Parsi Bhonu,new delhi,parsi,high,4.0,665,28.53789627,77.19815668
BarShala,new delhi,finger food,medium,3.0,31,28.6557549,77.3006287
Chawla's_,new delhi,north indian,medium,3.5,32,28.6560516,77.3011977
Domino's Pizza,new delhi,pizza,medium,3.0,83,28.6564531,77.3016337
Sultanat,new delhi,north indian,high,3.5,288,28.6562624,77.3016026
Bella Italia,new delhi,fast food,medium,3.0,33,28.554463,77.087897
Clever Fox Cafe,new delhi,north indian,medium,3.0,26,28.55169,77.120642
365 Naturals,new delhi,continental,medium,1.0,2,28.554463,77.087897
Tpot,new delhi,cafe,medium,1.0,0,28.554463,77.087897
4 on 44 Restaurant & Bar,new delhi,north indian,high,2.5,49,28.6901424,77.1346226
Rambhog,new delhi,street food,low,3.5,13,28.6900143,77.1345554
Selfie Lounge Restro & Bar,new delhi,north indian,high,3.0,64,28.68990208,77.13477239
BTW,new delhi,street food,low,3.5,167,28.7003322,77.1177269
Chilli Pepper,new delhi,north indian,medium,3.5,99,28.7006401,77.1176394
Pizza Hut,new delhi,italian,high,2.5,125,28.7006935,77.1172629
Puri Bakers,new delhi,bakery,low,3.5,124,28.7004868,77.1175742
Jaiveer Naan & Chaap,new delhi,north indian,medium,2.0,79,28.7004261,77.1176368
Aggarwal's Sweets Paradise,new delhi,mithai,low,3.0,8,28.52497428,77.2542078
Bikaner Sweets,new delhi,mithai,low,3.5,20,28.5253209,77.2542551
Cafe Coffee Day,new delhi,cafe,low,3.0,23,28.52813297,77.25014627
Cakeophony By Sonali,new delhi,bakery,low,3.5,19,0.0,0.0
Chandra Sweets,new delhi,mithai,low,3.0,7,28.5255719,77.2540557
Chhotu Mashhoor Kathi Roll,new delhi,fast food,low,2.5,11,28.52569245,77.25411225
Green Chick Chop,new delhi,raw meats,low,3.0,35,28.52810941,77.24689879
Lazeez Restaurant,new delhi,chinese,medium,3.0,11,28.5256646,77.2545694
Madhuvan Chinese Fast Food,new delhi,chinese,low,2.5,32,28.52560319,77.2532459
Mr Wong,new delhi,chinese,medium,3.0,10,28.525675,77.249793
Mughlai Shahi Rasoi,new delhi,north indian,medium,3.0,23,28.5253274,77.253851
Mumbai Central Street Food,new delhi,street food,low,3.0,7,28.52774267,77.24780235
Neha's Treat,new delhi,chinese,low,3.0,42,28.5257928,77.2540306
New Bakers Shoppee,new delhi,bakery,low,3.0,21,28.52553898,77.25402072
Pant  Ice Cream Parlour,new delhi,desserts,low,3.5,16,28.52572397,77.25401971
PM 2 AM Food Bank,new delhi,north indian,medium,2.5,37,28.52757,77.25118
Punjabi Chaap Corner,new delhi,north indian,low,3.0,4,28.533376,77.2542022
Sartaj Food Corner,new delhi,north indian,medium,3.0,7,28.5258419,77.2540755
The Sugar Therapy,new delhi,bakery,low,3.5,22,28.523785,77.252479
Biryani Binge,new delhi,north indian,medium,4.0,97,28.53141028,77.25034475
City of Joy,new delhi,bengali,medium,4.0,452,28.53267894,77.25312788
Letz Roll,new delhi,ice cream,low,3.5,14,28.5278902,77.2468466
Nukkad,new delhi,chinese,medium,3.5,82,28.53,77.25
#InstaFreeze,new delhi,ice cream,low,1.0,2,28.52542,77.253694
Aahar Meat and Chicken Shop,new delhi,raw meats,low,1.0,0,28.52,77.25
Food Cafe,new delhi,south indian,low,1.0,0,28.5299095,77.25012012
Lazeez Restaurant,new delhi,chinese,medium,1.0,1,28.5335614,77.25394236
Lemon Chick,new delhi,north indian,medium,1.0,2,28.525267,77.2546954
Punjabi Chaap Corner,new delhi,fast food,low,1.0,0,0.0,0.0
Purani Dilli Foods,new delhi,mughlai,medium,1.0,1,28.5254928,77.2550814
Tandoori Kebab,new delhi,north indian,low,1.0,0,28.526931,77.248174
Shree Rathnam,new delhi,south indian,medium,2.5,31,28.5255985,77.2543449
Alaturka,new delhi,turkish,medium,2.5,100,28.541562,77.1549849
Amici Gourmet Pizza,new delhi,pizza,medium,3.0,230,28.5414797,77.1549896
Burger King,new delhi,burger,medium,3.0,458,28.5417053,77.1551985
Kylin Express,new delhi,asian,medium,2.5,176,28.5411683,77.155068
Big Fat Sandwich,new delhi,american,medium,3.5,232,28.54155381,77.15575699
Fashion Tv Cafe,new delhi,continental,high,3.5,27,28.5414127,77.15530144
Kylin Skybar,new delhi,chinese,high,3.5,210,28.5414475,77.154938
Lemon Drops,new delhi,north indian,medium,4.0,44,28.5410525,77.1552225
Punjabi By Nature Express,new delhi,north indian,medium,3.5,206,28.5411702,77.155099
Red Mango,new delhi,cafe,medium,3.5,185,28.5409809,77.1553877
Starbucks,new delhi,cafe,medium,3.5,256,28.54089671,77.15541266
Peninsular Kitchen,new delhi,seafood,high,4.0,336,28.5411409,77.1550949
Mithapur,new delhi,chinese,low,3.5,280,28.5555634,77.2187517
Diggin,new delhi,italian,high,4.0,2131,28.5556355,77.2194983
Aggarwal Sweet India,new delhi,fast food,low,3.0,13,28.6603476,77.3169197
Banzara's,new delhi,chinese,low,3.0,38,28.6594964,77.3063202
Bobby Tikki Wala,new delhi,street food,low,3.0,69,28.6603647,77.3168615
Chennai Junction,new delhi,south indian,medium,3.5,11,28.6596493,77.3065547
Chicken Bite,new delhi,fast food,low,3.0,6,28.6595397,77.3065301
Chocolate Dreams,new delhi,bakery,low,3.0,4,28.6594042,77.3068973
Dial n Dine,new delhi,north indian,medium,3.5,80,28.6602285,77.316909
Fresh n Refresh,new delhi,fast food,medium,3.5,24,28.6596084,77.3066672
Garden Hut,new delhi,chinese,low,3.0,13,28.6601278,77.305701
Giani,new delhi,ice cream,low,3.5,12,28.6596561,77.3064966
Jugnu Gaming Zone and Cafe,new delhi,cafe,medium,3.0,4,28.6578549,77.3103233
Keventer's South Indian & Chinese Food,new delhi,chinese,low,3.0,9,28.6594592,77.3068127
KTS,new delhi,fast food,low,3.5,18,28.65948,77.306795
Mandarin,new delhi,chinese,medium,3.0,14,28.6598026,77.3061657
Penguin Bakers & Shakers,new delhi,fast food,low,3.0,9,28.6596774,77.3064705
Rollmates,new delhi,fast food,low,3.0,16,28.6595258,77.3064258
Tandoori Nights,new delhi,mughlai,medium,3.0,5,28.6604475,77.3169899
Burger Dominion,new delhi,fast food,medium,3.5,251,28.6596325,77.3065439
Cafe Gainz,new delhi,healthy food,low,3.5,42,28.6595377,77.306742
Chaskaa,new delhi,chinese,medium,3.5,220,28.6595993,77.3066776
Fabulous Cake Bites,new delhi,bakery,low,3.5,34,28.6601355,77.3057084
Hangout - A House Of Kathis,new delhi,street food,low,3.5,103,28.6594782,77.3065483
Malais By Anands,new delhi,north indian,low,3.5,46,28.6602308,77.3171967
Panchwati Rasoi,new delhi,north indian,low,4.0,62,28.6598763,77.317158
Sprinkles Cup & Cake,new delhi,bakery,low,3.5,42,28.6632543,77.3160226
Target Ice Cream & Bakers,new delhi,desserts,low,3.5,58,28.660001,77.3128538
The Sweeet Jar,new delhi,cafe,high,4.0,106,28.6600636,77.3049468
Amar Bakery,new delhi,bakery,medium,1.0,0,28.6595807,77.3066854
Cafe Brewbug,new delhi,fast food,low,1.0,1,28.6595978,77.3064428
Chilll House Kafe,new delhi,cafe,medium,1.0,1,28.6594371,77.3068152
Cookie Shookie,new delhi,bakery,low,1.0,0,28.6594206,77.3068421
Fabulous Cake,new delhi,bakery,low,1.0,0,28.6640178,77.3181158
Jai Maa Shaarde Samose Wala,new delhi,street food,low,1.0,0,28.6603594,77.3171146
Madaan Confectionery,new delhi,bakery,low,1.0,0,28.6636866,77.3180203
Magic Masala,new delhi,chinese,medium,1.0,1,28.6597573,77.3061815
Sikka Chinese Fast Food,new delhi,chinese,low,1.0,0,28.6579247,77.3065417
Teedo's Cake Inn,new delhi,cafe,medium,1.0,0,28.6600976,77.3056481
Thalaiva Cafe,new delhi,south indian,low,1.0,2,28.659426,77.3065199
The Cake Affairs,new delhi,bakery,medium,1.0,0,28.6622024,77.3170268
Tulsi Ram Chinese Hut,new delhi,chinese,low,1.0,0,28.6595326,77.3062409
V. K. Pasta,new delhi,italian,medium,1.0,0,28.6595859,77.3066115
Xpert Bakers,new delhi,bakery,low,1.0,0,28.6519961,77.3147803
Juniper Bar - Andaz Delhi,new delhi,north indian,high,3.0,4,28.55480667,77.12181085
McDonald's,new delhi,fast food,medium,3.5,48,28.5625545,77.2243586
Pizza Hut Delivery,new delhi,italian,medium,3.0,51,28.5625495,77.2242626
The Arena,new delhi,continental,high,3.5,19,28.5624498,77.2245776
Restaurant De Seoul,new delhi,japanese,high,3.5,59,28.562518,77.2245397
Taksim,new delhi,continental,high,4.0,188,28.5625562,77.2239998
Jom Jom Malay,new delhi,malaysian,high,4.5,77,28.563155,77.224443
Kofuku,new delhi,japanese,high,4.0,46,28.56257437,77.22493695
The Sky High,new delhi,continental,high,4.0,387,28.5622825,77.2243747
Haldiram's,new delhi,north indian,medium,3.0,117,28.66894461,77.10154384
Jux Pux - The Dreamer's Cafe,new delhi,beverages,low,3.0,7,28.640954,77.238382
Pizzaon,new delhi,pizza,medium,3.0,10,28.64244153,77.23196391
FFC Restaurant,new delhi,fast food,low,1.0,1,28.642415,77.231881
"34, Chowringhee Lane",new delhi,fast food,low,3.0,7,28.6933274,77.1729156
Aapni Dhani,new delhi,north indian,low,3.0,23,28.6927118,77.1731452
Bengal Sweet Corner,new delhi,north indian,medium,3.0,102,28.692666,77.1725562
Chicken Vicken,new delhi,north indian,medium,3.5,19,28.6849156,77.1664456
Cup-a-licious,new delhi,bakery,low,3.0,15,28.6976846,77.1763302
Frontier,new delhi,bakery,low,3.0,10,28.6931895,77.1714778
Metro Fast Food,new delhi,chinese,low,2.5,17,28.6938333,77.1727344
Nagpal's,new delhi,street food,low,3.5,135,28.6848261,77.1664456
Nile Restro & Bar,new delhi,north indian,high,2.5,35,28.6942435,77.1721967
Popular Chicken,new delhi,north indian,low,3.0,5,28.6874254,77.1730055
Sardar A Pure Meat Shop,new delhi,raw meats,low,3.5,22,28.6873272,77.1729156
Shankar Fast Food,new delhi,chinese,low,3.0,74,28.6929381,77.1716576
Singh's Zaika ,new delhi,north indian,medium,3.0,4,28.6812819,77.1767631
The Mirch Masala,new delhi,north indian,medium,3.0,7,28.6931964,77.1731558
The Mirch Masala,new delhi,north indian,medium,3.0,22,28.6873066,77.1736345
Uncle Cake Shop,new delhi,bakery,low,3.0,9,28.6738532,77.1855851
Kays Bar-Be-Que,new delhi,north indian,medium,3.5,191,28.6933532,77.1731852
Master Bakers,new delhi,bakery,low,3.5,199,28.6925128,77.1728257
The Master's Fast Food Centre,new delhi,fast food,low,3.5,60,28.6930613,77.1734098
6 Pack Momos,new delhi,chinese,low,1.0,1,28.6940223,77.1724219
Al Noor Foods,new delhi,north indian,medium,1.0,0,28.6870353,77.1731402
Avon Kitchen,new delhi,north indian,medium,1.0,0,28.6872769,77.1736822
Bhasad Cafe,new delhi,fast food,medium,1.0,1,28.6720536,77.1808229
Bikaner Kesarvala,new delhi,mithai,low,1.0,2,28.687879,77.1685277
De Bone Chicken,new delhi,raw meats,low,1.0,0,28.6872543,77.1730688
Indian Fresh Meat Shop,new delhi,raw meats,low,1.0,1,28.687261,77.1728262
JD's Food Court,new delhi,north indian,medium,1.0,3,28.6720536,77.1808229
Keventers,new delhi,beverages,low,1.0,3,28.6942521,77.1722866
Malhotra Bakery,new delhi,bakery,low,1.0,1,28.6738127,77.18563
Matthi Wala,new delhi,mithai,low,1.0,0,28.67,77.18
Nirula's Ice Cream,new delhi,ice cream,low,1.0,0,28.694039,77.172323
Punjabi Chaap Corner,new delhi,fast food,low,1.0,1,28.6703604,77.1809128
Puran Dhaba,new delhi,north indian,low,1.0,0,28.6802986,77.1724663
Rama Desi Ghee Meat Wala,new delhi,north indian,medium,1.0,0,0.0,0.0
VadaPav 'n' Frankie,new delhi,fast food,low,1.0,0,28.6873126,77.1732301
Chhabra Sweets,new delhi,mithai,low,2.5,15,28.6939921,77.1723764
Kanwarji's,new delhi,street food,low,3.0,29,28.6945328,77.1787198
Pizza Hut,new delhi,italian,high,3.5,35,28.6929229,77.1780375
Sagar Ratna,new delhi,south indian,medium,2.5,278,28.693362,77.1779476
Smelling Salts,new delhi,north indian,high,3.5,53,28.6951682,77.1715677
Wah Ji Wah,new delhi,north indian,low,2.5,142,28.6960643,77.1795361
Wheelyz,new delhi,north indian,medium,2.5,41,28.693567,77.1782172
Bell Pepperz,new delhi,chinese,high,4.0,492,28.6965128,77.1795201
Bharat Sweets,new delhi,mithai,low,3.5,28,28.6929229,77.1780375
Invitation,new delhi,north indian,high,3.5,457,28.6961234,77.1794454
Mystique Melange,new delhi,north indian,high,4.0,173,28.6963822,77.1702198
Pandit Ji Paranthe Wale,new delhi,north indian,low,3.5,131,28.6965655,77.1799506
Raju Chat Palace,new delhi,street food,low,4.0,123,28.680204,77.1855035
Seasonings - The Spice Mysteries,new delhi,north indian,high,4.0,274,28.6950531,77.1793165
SGF - Spice Grill Flame,new delhi,north indian,medium,3.5,87,28.6961906,77.1794162
Apni Rasoi,new delhi,north indian,low,3.0,78,28.6923511,77.177678
Bablu Kabab Shop,new delhi,north indian,medium,3.0,10,28.6919464,77.1781273
Cake o' Cuisine,new delhi,bakery,low,3.5,26,28.691831,77.1778577
Domino's Pizza,new delhi,pizza,medium,3.0,101,28.6924171,77.1778168
Hunger Flames,new delhi,pizza,medium,3.5,17,28.6872232,77.1835542
Puran Chand Ambala Wale Di Hatti,new delhi,north indian,medium,3.5,34,28.6924751,77.1780375
The Cake Gallery,new delhi,bakery,medium,3.5,12,28.6849542,77.1674237
Bablu Chic Inn,new delhi,mughlai,medium,3.5,34,28.6924851,77.1780492
Masala Basket,new delhi,north indian,low,3.5,46,28.6921495,77.1778832
Udta Punjab,new delhi,north indian,medium,3.5,31,28.6924751,77.1780375
Munch Nation,new delhi,fast food,low,4.0,96,28.69218909,77.17785772
Bengali Pastry Shop & Snack Bar,new delhi,north indian,medium,3.0,70,28.6295216,77.2319679
Bhimsain's Bengali Sweet House,new delhi,north indian,low,3.5,560,28.6297833,77.231938
Cafe Coffee Day,new delhi,cafe,low,3.0,4,28.62981784,77.22546157
Colonel's Kababz,new delhi,north indian,medium,3.5,38,28.6291908,77.2322198
Faasos,new delhi,north indian,medium,3.0,11,28.637044,77.22947
Karachi Bakery,new delhi,bakery,low,3.0,4,28.6296552,77.2321395
Nathu's Sweets,new delhi,north indian,medium,3.5,421,28.6297135,77.2321162
Sachdeva Confectioners,new delhi,north indian,medium,3.0,68,28.636706,77.23034
Bengali Sweet House,new delhi,north indian,low,3.5,85,28.6296407,77.2319464
Bijoli Grill,new delhi,bengali,medium,3.5,343,28.62586289,77.22564027
Nathu's Pastry Shop,new delhi,bakery,low,4.0,120,28.6291468,77.2320661
Balaji Dhaba,new delhi,north indian,low,1.0,3,28.6302526,77.2297102
Bhagat Ji,new delhi,fast food,low,1.0,2,28.62948089,77.22556986
Hangout Kathi Rolls,new delhi,fast food,low,1.0,2,28.6305852,77.229817
Makers & Bakers,new delhi,bakery,low,1.0,0,28.6337562,77.2243937
Habibi Express,new delhi,lebanese,medium,2.5,55,28.6291992,77.232182
Cafe Coffee Day,new delhi,cafe,low,3.0,49,28.55860308,77.16410805
China Town,new delhi,chinese,low,3.0,7,28.55882222,77.16399444
Domino's Pizza,new delhi,pizza,medium,3.5,90,28.55759742,77.16454592
High Street Kitchen & Bar,new delhi,north indian,high,3.0,11,28.55803178,77.16416739
Pizza Hut,new delhi,italian,high,3.0,161,28.55750937,77.16408022
Sugar & Spice - Le Marche,new delhi,bakery,medium,3.0,67,28.55735771,77.16383245
The Kathis,new delhi,fast food,low,3.0,23,28.55749052,77.16335401
The Kylin Experience,new delhi,japanese,high,3.5,60,28.55915278,77.16345278
Arabian Nites,new delhi,lebanese,low,3.5,239,28.55731442,77.16421165
Asia Kitchen,new delhi,chinese,high,3.5,137,28.55894144,77.16395449
Dunkin' Donuts,new delhi,burger,medium,3.5,212,28.55739275,77.16427334
Krips Restaurant,new delhi,north indian,high,3.5,193,28.55720016,77.16388777
McDonald's,new delhi,fast food,medium,3.5,202,28.5574864,77.16365643
Yo! China,new delhi,chinese,high,3.5,332,28.55722872,77.16364905
RPM,new delhi,finger food,high,2.5,92,28.55756561,77.16416772
By The Way - Bellagio,new delhi,italian,high,3.0,120,28.6963277,77.1799244
